time,H,W
1.25,4,0
1.5,4,11
1.75,5,12
2.0,4,0
2.25,4,0
2.5,4,0
2.75,4,0
3.0,4,0
3.25,4,0
3.5,5,2
3.75,5,3
4.0,5,3
4.25,5,3
4.5,5,3
4.75,5,3
5.0,5,2
5.25,5,2
5.5,6,4
5.75,7,6
6.0,6,6
6.25,6,6
6.5,5,8
6.75,6,9
7.0,6,8
7.25,5,9
7.5,5,9
7.75,5,9
8.0,5,9
8.25,6,10
8.5,6,10
8.75,6,10
9.0,6,10
9.25,6,10
9.5,6,10
9.75,6,10
10.0,6,10
10.25,6,10
10.5,6,10
10.75,5,9
11.0,5,9
11.25,4,9
11.5,4,9
11.75,4,9
12.0,6,10
12.25,5,10
12.5,6,10
12.75,5,9
13.0,5,8
13.25,4,8
13.5,4,8
13.75,5,8
14.0,5,8
14.25,4,8
14.5,4,8
14.75,5,8
15.0,4,8
15.25,5,9
15.5,4,8
15.75,2,13
16.0,6,10
16.25,4,10
16.5,4,10
16.75,4,10
17.0,4,10
17.25,4,10
17.5,4,10
17.75,4,10
18.0,4,10
18.25,4,10
18.5,4,10
18.75,4,10
19.0,4,10
19.25,4,10
19.5,4,10
19.75,4,10
20.0,4,9
20.25,4,8
20.5,4,8
20.75,4,9
21.0,4,9
21.25,4,9
21.5,4,8
21.75,5,8
22.0,5,8
22.25,6,8
22.5,6,8
22.75,5,9
23.0,5,9
23.25,5,9
23.5,5,9
23.75,5,9
24.0,5,9
24.25,5,9
24.5,4,8
24.75,4,8
25.0,4,8
25.25,4,8
25.5,4,8
25.75,4,8
26.0,4,8
26.25,4,8
26.5,4,8
26.75,4,8
27.0,4,8
27.25,4,8
27.5,4,8
27.75,4,8
28.0,5,8
28.25,5,9
28.5,4,6
28.75,4,5
29.0,4,5
29.25,4,5
29.5,4,6
29.75,4,6
30.0,4,6
30.25,4,6
30.5,4,8
30.75,4,8
31.0,4,8
31.25,4,9
31.5,4,9
31.75,4,9
32.0,4,8
32.25,4,8
32.5,5,9
32.75,5,9
33.0,5,9
33.25,5,9
33.5,5,9
33.75,5,9
34.0,5,9
34.25,5,9
34.5,5,9
34.75,5,9
35.0,5,9
35.25,5,9
35.5,5,9
35.75,5,9
36.0,5,9
36.25,4,8
36.5,4,8
36.75,5,9
37.0,5,9
37.25,6,10
37.5,6,10
37.75,6,10
38.0,6,10
38.25,6,10
38.5,6,10
38.75,6,10
39.0,6,10
39.25,5,10
39.5,5,10
39.75,4,8
40.0,5,9
40.25,5,9
40.5,5,9
40.75,5,9
41.0,5,9
41.25,5,9
41.5,5,9
41.75,5,10
42.0,6,10
42.25,6,10
42.5,6,10
42.75,6,10
43.0,6,10
43.25,5,10
43.5,6,10
43.75,6,10
44.0,6,10
44.25,6,10
44.5,6,10
44.75,6,10
45.0,6,10
45.25,6,10
45.5,6,10
45.75,6,10
46.0,6,10
46.25,6,10
46.5,6,10
46.75,6,10
47.0,6,10
47.25,6,10
47.5,6,10
47.75,6,10
48.0,6,10
48.25,6,10
48.5,6,10
48.75,6,10
49.0,6,10
