time,x,y,z,H,W
0.0,-0.11658591949281776,-0.021849235276765314,0.9929402470913519,4,11
0.25,-0.1482192301156526,-9.995901680307298e-06,0.9889545286432565,4,11
0.5,-0.16778587970144535,0.0030143692942652955,0.9858188536189445,4,11
0.75,-0.055319719022377034,0.009409910999758055,0.9984243497943457,4,11
1.0,0.3588948438107635,-0.02535257169649293,0.9330336211490035,4,12
1.25,0.6593676032288265,-0.11303690130178179,0.7432745271811517,3,13
1.5,0.8173471775782439,-0.14042000788089842,0.5587716999737969,3,14
1.75,0.8633474936278674,-0.0727692538357739,0.4993352991153981,4,14
2.0,0.7009561938624812,-0.05515987725362484,0.7110680714440697,4,13
2.25,0.36972877410374666,-0.14975221288493,0.9169923163995475,3,12
2.5,0.15252811489421716,-0.11479819192447611,0.9816091632099241,3,12
2.75,0.008404402915552141,-0.03311382728192333,0.9994162498450662,4,12
3.0,-0.21292228495715856,0.029061331016966452,0.9766368514489636,4,11
3.25,-0.41069347304772186,0.08209787677214941,0.9080698265141868,4,10
3.5,-0.5770405377567737,0.12309926140443161,0.8073851556890662,5,10
3.75,-0.8086668306899579,0.1799695556769061,0.5600615287370805,5,9
4.0,-0.8965315785314203,0.21417560090394436,0.3877627376030265,5,9
4.25,-0.9182344015835213,0.23631597214234487,0.3178055145194475,5,8
4.5,-0.9231697835658768,0.24848851873837038,0.293276331752399,5,8
4.75,-0.9109770320742749,0.24432303534311853,0.3323057348795989,5,8
5.0,-0.8593369158957957,0.2180362316883751,0.4626016284556676,5,9
5.25,-0.7160311069990748,0.1441224275461979,0.683028681453327,5,9
5.5,-0.5202180017573038,0.060468867899981786,0.8518901024560223,4,10
5.75,-0.3229799993396811,0.022002627268970912,0.9461499904453851,4,11
6.0,-0.24978764652389854,0.014102269434090478,0.9681979434190408,4,11
6.25,-0.3134523387004055,0.021876858938149543,0.949351902302959,4,11
6.5,-0.5995668594511886,0.07763949394312805,0.7965498666298884,4,10
6.75,-0.8898215320662712,0.11015848272278517,0.4428123188840258,4,9
7.0,-0.986640932902346,0.052849650682168306,-0.1540992665276535,4,7
7.25,-0.7764918575048346,-0.021128690021218685,-0.6297729540768472,4,6
7.5,-0.40366018716775315,-0.016009820209399173,-0.9147688992049068,4,5
7.75,-0.07676131124415944,0.03475818029057726,-0.996443460512921,4,4
8.0,0.2262967594633527,0.09401224960239275,-0.9695109455705402,4,3
8.25,0.43562661375968253,0.0934885609313656,-0.8952593715562293,4,2
8.5,0.5744668303882441,0.04608392579954203,-0.8172295470469646,4,2
8.75,0.6855108568186493,0.014833356973475757,-0.7279112835398681,4,2
9.0,0.7252442926776634,0.018668246497580795,-0.6882384852005742,4,1
9.25,0.6538085414545917,0.027501934324067594,-0.7561600589355764,4,2
9.5,0.6971862134667075,0.10728774514807454,-0.7088164243956234,4,2
9.75,0.831432456002773,0.17409685433688732,-0.5276460522122735,5,1
10.0,0.9440388223668682,0.11089018599050246,-0.31063494413083764,4,0
10.25,0.9921828562294891,-0.12238500307191272,-0.024394483544038247,3,0
10.5,0.9553175609449046,-0.16421628134919566,0.24576690316257085,3,15
10.75,0.84135771906398,-0.15449630663205854,0.5179267127775028,3,14
11.0,0.5951195119511953,-0.2504330433043305,0.7636203620362038,3,13
11.25,0.3837801157106892,-0.3196585245437982,0.8663320670918118,3,13
11.5,0.2111971697264669,-0.22523060932830977,0.9511398047191215,3,12
11.75,0.01040806625134479,-0.10378042983312065,0.9945457729740548,4,12
12.0,-0.0760141137609169,-0.07615425039413427,0.9941943394809939,4,11
12.25,-0.24340068359970526,0.011568610397153643,0.9698568319482391,4,11
12.5,-0.40819271569837445,0.09927596700128419,0.9074816743200634,4,10
12.75,-0.5010337146947442,0.14578376368122395,0.8530605552867407,5,10
13.0,-0.5117376100229164,0.1602119555820733,0.8440715300118828,5,10
13.25,-0.5195181137458014,0.1790789186766933,0.835482896518888,5,10
13.5,-0.5814108702591335,0.1136357041293056,0.8056353559095789,5,10
13.75,-0.5826554498829559,0.017203157045304788,0.8125371856779021,4,10
14.0,-0.5634532644697132,-0.021875503297631094,0.8258582693863996,4,10
14.25,-0.5349704976565055,-0.05215762437914136,0.843259241785274,4,10
14.5,-0.5310140288579359,-0.05791592687989198,0.8453814799069743,4,10
14.75,-0.5873799330287,-0.027036710119951887,0.8088595864432155,4,10
15.0,-0.5735365616978024,0.13038441453464295,0.8087371123191524,5,10
15.25,-0.4894166339572592,0.15383708817357666,0.8583737581661159,5,10
15.5,-0.2401772641157261,0.08542344926425184,0.9669631410336604,4,11
15.75,-0.11689609936068378,-0.016234568704226442,0.9930114504542454,4,11
